suicides_no,country,year,sex,population
854.0,United States of America,2000,female,19771195.0
871.0,United States of America,2001,female,19593734.0
909.0,United States of America,2003,female,19650112.0
911.0,United States of America,2002,female,19725528.0
912.0,United States of America,1999,female,19109524.0
924.0,United States of America,2005,female,19721652.0
932.0,United States of America,2004,female,19695906.0
932.0,United States of America,2006,female,19851326.0
961.0,United States of America,1998,female,19520600.0
988.0,United States of America,1997,female,19799100.0
997.0,United States of America,2007,female,19839678.0
1013.0,United States of America,1996,female,20176900.0
1027.0,United States of America,2009,female,19992900.0
1027.0,United States of America,2008,female,19812423.0
1058.0,United States of America,1995,female,20441200.0
1059.0,United States of America,1994,female,20677400.0
1070.0,United States of America,1992,female,21212300.0
1089.0,United States of America,1993,female,20933400.0
1092.0,United States of America,2010,female,20180858.0
1153.0,United States of America,1991,female,21450000.0
1211.0,United States of America,1990,female,21596400.0
1226.0,United States of America,1989,female,21892000.0
1231.0,United States of America,2012,female,20667924.0
1238.0,United States of America,2011,female,20408037.0
1242.0,United States of America,1985,female,21041000.0
1247.0,United States of America,1988,female,21822000.0
1261.0,United States of America,1986,female,21391000.0
1267.0,United States of America,1984,female,20663000.0
1285.0,United States of America,2013,female,20951958.0
1285.0,United States of America,1987,female,21645000.0
1321.0,United States of America,1983,female,19979000.0
1322.0,United States of America,1980,female,18856000.0
1347.0,United States of America,2014,female,21250636.0
1352.0,United States of America,1979,female,18176000.0
1377.0,United States of America,1982,female,19771000.0
1437.0,United States of America,1981,female,19537000.0
1444.0,United States of America,2015,female,21555712.0
3938.0,United States of America,2000,male,20120529.0
4053.0,United States of America,2006,male,20564653.0
4066.0,United States of America,2005,male,20421260.0
4135.0,United States of America,2002,male,20202776.0
4142.0,United States of America,2004,male,20336031.0
4156.0,United States of America,2003,male,20222486.0
4194.0,United States of America,1999,male,18826288.0
4199.0,United States of America,2001,male,20013572.0
4273.0,United States of America,2008,male,20007152.0
4281.0,United States of America,2007,male,20531378.0
4293.0,United States of America,2009,male,20205941.0
4404.0,United States of America,1998,male,19253800.0
4505.0,United States of America,1979,male,17862000.0
4598.0,United States of America,1980,male,18563000.0
4645.0,United States of America,2010,male,20409866.0
4684.0,United States of America,1997,male,19810400.0
4848.0,United States of America,1996,male,20191300.0
4862.0,United States of America,2011,male,20698307.0
4906.0,United States of America,1981,male,19273000.0
4939.0,United States of America,1982,male,19532000.0
4985.0,United States of America,2012,male,21028158.0
5017.0,United States of America,1983,male,19739000.0
5063.0,United States of America,2013,male,21386891.0
5102.0,United States of America,1992,male,21232500.0
5125.0,United States of America,1984,male,20567000.0
5134.0,United States of America,1985,male,20986000.0
5218.0,United States of America,1993,male,20942000.0
5222.0,United States of America,2014,male,21760455.0
5234.0,United States of America,1995,male,20432000.0
5295.0,United States of America,1994,male,20676800.0
5339.0,United States of America,1989,male,21943000.0
5339.0,United States of America,1990,male,21564300.0
5361.0,United States of America,1991,male,21427000.0
5370.0,United States of America,1987,male,21670000.0
5450.0,United States of America,1986,male,21393000.0
5463.0,United States of America,1988,male,21853000.0
5503.0,United States of America,2015,male,22137097.0
,United States of America,2016,female,21857682.0
,United States of America,2016,male,22511217.0
